BookingCode,GuestCount,BookingDate,BookingStartTime,BookingEndTime,Duration,CreatedOn,TableCode
4222598,2,2017-09-19,68400,73799,5400,2017-09-19 18:47:28.987,11554.0
4223641,2,2017-09-20,36900,42299,5400,2017-09-20 10:01:36.830,11554.0
4223642,4,2017-09-20,36900,42299,5400,2017-09-20 10:02:08.973,11552.0
4223647,4,2017-09-23,55800,61199,5400,2017-09-20 10:04:07.707,11555.0
4264176,6,2017-10-02,68400,75599,7200,2017-10-02 13:59:00.397,11561.0
4263856,4,2017-10-02,67500,72899,5400,2017-10-02 12:42:23.990,11555.0
4264659,2,2017-10-02,61200,66599,5400,2017-10-02 16:39:32.060,11562.0
4264980,2,2017-10-02,72000,77399,5400,2017-10-02 17:59:15.717,11563.0
4264983,5,2017-10-02,65700,72899,7200,2017-10-02 18:00:10.637,11557.0
4265057,2,2017-10-02,66600,71999,5400,2017-10-02 18:16:33.983,11563.0
4265379,7,2017-10-02,70200,77399,7200,2017-10-02 19:29:28.160,11554.0
4265379,2,2017-10-02,70200,77399,7200,2017-10-02 19:29:28.160,11560.0
4265416,4,2017-10-02,71100,76499,5400,2017-10-02 19:37:42.740,11553.0
4265826,4,2017-10-03,70200,75599,5400,2017-10-02 21:44:49.270,11555.0
4266797,2,2017-10-03,45900,51299,5400,2017-10-03 12:41:36.887,11554.0
4266965,3,2017-10-03,48600,53999,5400,2017-10-03 13:19:24.683,11568.0
4267012,2,2017-10-03,49500,54899,5400,2017-10-03 13:31:33.370,11553.0
4267595,2,2017-10-03,67500,72899,5400,2017-10-03 16:29:53.043,11554.0
4267783,3,2017-10-03,63000,68399,5400,2017-10-03 17:19:11.980,11555.0
4268090,4,2017-10-03,72000,77399,5400,2017-10-03 18:22:02.260,11571.0
4268108,4,2017-10-03,66600,71999,5400,2017-10-03 18:26:00.400,11567.0
4268305,3,2017-10-03,68400,73799,5400,2017-10-03 18:59:36.277,11568.0
4268437,2,2017-10-03,70200,75599,5400,2017-10-03 19:24:21.870,11564.0
4268437,5,2017-10-03,70200,75599,5400,2017-10-03 19:24:21.870,11565.0
4268542,2,2017-10-03,72000,77399,5400,2017-10-03 19:48:12.447,11562.0
4267237,2,2017-10-03,70200,75599,5400,2017-10-03 14:36:51.603,11570.0
4268811,2,2017-10-03,75600,80999,5400,2017-10-03 20:54:10.497,11563.0
4268813,2,2017-10-03,75600,80999,5400,2017-10-03 20:54:21.387,11567.0
4263639,2,2017-10-03,66600,71999,5400,2017-10-02 11:54:06.023,11559.0
4263206,3,2017-10-03,68400,73799,5400,2017-10-02 09:22:21.367,11553.0
4263583,2,2017-10-03,46800,52199,5400,2017-10-02 11:36:13.477,11555.0
4268821,1,2017-10-03,75600,80999,5400,2017-10-03 20:56:27.620,11560.0
4270707,3,2017-10-04,58500,63899,5400,2017-10-04 16:07:10.597,11555.0
4271139,2,2017-10-04,64800,70199,5400,2017-10-04 17:48:15.563,11565.0
4271143,8,2017-10-04,64800,68399,3600,2017-10-04 17:48:50.813,11557.0
4271231,2,2017-10-04,65700,71099,5400,2017-10-04 18:06:25.830,11570.0
4271264,2,2017-10-04,72000,77399,5400,2017-10-04 18:10:54.347,11576.0
4271274,2,2017-10-04,72900,78299,5400,2017-10-04 18:13:47.580,11565.0
4271318,2,2017-10-04,66600,71999,5400,2017-10-04 18:21:02.033,11567.0
4271413,2,2017-10-04,67500,72899,5400,2017-10-04 18:37:08.690,11574.0
4271423,2,2017-10-04,67500,72899,5400,2017-10-04 18:38:17.597,11569.0
4271700,4,2017-10-04,70200,75599,5400,2017-10-04 19:25:32.127,11567.0
4271713,3,2017-10-04,70200,75599,5400,2017-10-04 19:28:07.347,11568.0
4271733,2,2017-10-04,71100,76499,5400,2017-10-04 19:31:48.863,11560.0
